gene	nectophore_developing	gastrozooid_mature	palpon_mature	gastrozooid_developing	palpon_developing	gonodendron_female_mature	pneumatophore_mature	gonodendron_male_mature
ANN22961-RA	10.2270760689862	13.1720695909881	26.7692954522218	5.17348879829537	6.70512109977926	0.248301366256031	0	0
ANN22962-RA	0	0	0	0	0	0	0.738509544402713	0
ANN22963-RA	23.0914386835065	16.7210333948356	19.7356273983066	17.9842820225372	11.2751572548001	10.3473673578131	13.286166983563	135.194707837273
ANN22964-RA	0.460995518689326	2.83406901783833	29.471523499621	0.656838196025022	17.482815049647	0	19.2550923080627	0
ANN22965-RA	0	0	0	0	0	0	0	0
ANN22966-RA	0	0	0	0	0	0	0	0
ANN22967-RA	209.754871669095	158.067210944343	115.629761998751	137.023959702791	101.750054193875	41.2342230717393	87.3425361011734	36.5986336192475
ANN22968-RA	0	2.95935328683679	0	0	0	0	0	0
ANN22969-RA	0	0	0	0	0	0	0	0
ANN22972-RA	0.646892264201566	0.591870657367357	0	0	0	0	0	0
ANN22973-RA	3.90770538894539	0	0	0	0	2.00980964616317	0	0
ANN22974-RA	0.431261509467711	2.36748262946943	2.69516891586338	1.310025941741	0	0	0	0
ANN22975-RA	154.470011118853	35.33114455371	96.2116002173285	115.492388714568	170.883913535526	135.001288068852	66.3622652847782	34.7390696024074
ANN22976-RA	68.3399541319307	51.66912165748	26.7487237354542	26.2746791824303	38.9923958257713	6.77926209125615	29.1314110679167	16.7566137867704
ANN22977-RA	233.987772521851	258.835018827281	119.995452504163	366.016581086125	222.552954896391	466.155235929347	120.028728810411	0
ANN22978-RA	152.333307058314	171.516244368856	188.727581355101	156.224225910731	193.673955540476	107.026847103962	179.384572780914	27.0740844160191
ANN22979-RA	73.5679940291305	61.1337896834668	69.8312920793089	110.864968059154	70.8349525836775	582.609720130129	71.989876262387	76.4742886293663
ANN22980-RA	303.085679494252	515.417041385762	2165.30183589999	328.791678110018	980.306935540274	331.833878615092	1666.87175393092	662.10215572331
ANN22981-RA	2.58756905680626	0	0	0	0	0	0	0
ANN22982-RA	0.255832472651184	0	0	0	0.205895023850681	0	21.4360984358463	0
ANN22983-RA	0.844238802364124	1.48810312736532	0	1.83458712470445	0.964042452198112	0.593192134793566	0.826451955086843	0
ANN22984-RA	0	0	0	0	0	0	0	0
ANN22985-RA	55.7525871922856	54.0902411272544	149.373163596519	32.9391243871348	31.0191261516141	5.87709652619339	36.667583234153	10.0070932795326
ANN22986-RA	0.215630754733855	0	0	0	0	0	0	0
ANN22987-RA	0.221204153420242	0.44844048341571	0	0.304822950396017	0	0	0.420046940414805	0
ANN22988-RA	1.27034284340265	0	0	0	0.376019949333523	0	0	0
ANN22989-RA	13.0035209641132	34.4411740682665	131.842779126058	5.71090532204345	37.7703243292458	5.95361592346224	16.6210304104602	381.454536776318
ANN22990-RA	0.789444051328279	18.5124162231879	11.8743772796431	1.01174119991141	4.60943776272226	0	10.4650969491591	6.78036444283454
ANN22991-RA	0	0	0	0	0	0	0	0
ANN22992-RA	0	0.595843835366798	0	0	0.575636327039448	0	0	0
ANN22993-RA	0	0	0	0	0	0	0	0
ANN22994-RA	13.5654240047076	217.087606440198	2.29556109271441	189.040745411408	0	0	0.73268049131922	6.82092374352613
ANN22995-RA	3.48139030902002	3.13205793806625	9.01066027728708	2.95016891700306	4.16269090350999	3.78797571459076	1.68141439992342	0
ANN22996-RA	3.94377739330539	3.2517671244938	0	5.02045999092335	2.82965510391306	10.898308423784	6.6028515772804	26.6990404413592
ANN22997-RA	124.868823480944	166.207373801348	259.086570421041	123.459607960802	233.750485402163	89.9499595494276	249.293000130636	116.313187284994
ANN22998-RA	182.992004035594	265.858965765741	320.598015769231	342.196939160814	307.09436522989	698.215757045745	318.386216796816	217.448628636939
ANN22999-RA	0	0	0	0	0	0	0	0
ANN23000-RA	6.27229740654883	0	0	0	0	0	0	0
ANN23001-RA	4.93125992704222	1.17157725448747	2.28458879976846	0	2.24307492864809	0.960036405758683	38.5441878487257	0
ANN23002-RA	2.80319981154012	0	0	0	0	0	0	0
ANN23003-RA	9.89710932351851	18.2264137101258	26.5986105999656	23.8223040305712	24.3967046113211	7.66483764164515	20.6628260279784	0
ANN23004-RA	66.2267872456364	110.357646716262	84.6107852243469	93.6011206667698	78.6367169762448	111.116515493692	65.0963547981899	19.820303363506
ANN23005-RA	31.9779832053072	26.0577091613742	32.0486963245459	13.6024007830906	14.5790219067204	18.2025061004713	46.5615908733007	6.63028370223618
ANN23006-RA	0.39963151775415	0.584093109714416	2.81627343648002	0	4.91709208264207	0	0	0
ANN23007-RA	4.284551204155	5.51294143028935	3.48668178053116	0.853820364501232	1.34696637586139	0.607021857389462	2.03178191897116	3.36135804749241
ANN23008-RA	0	0	0	0	0	0	0	0
ANN23009-RA	106.433880981619	78.9918098251399	202.13450091511	95.2804877992534	245.608736783583	152.394696939951	196.449701545697	105.274834684196
ANN23010-RA	89.1469201125501	72.1894882445182	152.444631501582	104.476693115611	49.6078974278399	181.738149047804	70.5534292683321	377.192503895127
ANN23011-RA	50.0746984457888	48.9477083355975	54.7318605538239	57.4223848384998	65.9025261225455	22.4137718557135	47.9187465943603	6.67643688190444
ANN23012-RA	0	0	0	1.21086619716001	0	0	0	0
ANN23013-RA	2.21451189926194	7.01867745594172	0.898146388497907	0.565825127476299	1.95601722084801	0	0	0
ANN23014-RA	9.05035339479742	1.34292898563005	2.29382036260917	1.38007969596676	0.58032013245385	0	0.858653053220288	0
ANN23015-RA	0	0	2.75450221800279	1.25820318153932	0	0.747582431692165	12.3511214929744	0
ANN23016-RA	39.4441644268576	40.1918239038258	30.4862980826347	50.7812914730652	23.2108738418597	18.7454078526823	79.4488812341914	16.705701241378
ANN23017-RA	0.311226797145015	0	0	0	0	0.249745938475632	0	0
ANN23018-RA	0	0	0	0	0	0	0	0
ANN23019-RA	0	0	0	0.433191066685737	0	0	0	0
ANN23020-RA	5.23323580238135	156.395708737092	110.583844092595	6.84373742747998	49.5852927999086	7.44478051510426	14.9526291782242	7294.58926037759
ANN23021-RA	0	0	0	0	0	0	0	0
ANN23022-RA	0.620185899603832	0	0	0	0	0.348176441632634	2.10779519221006	10.2653385054033
ANN23023-RA	6.95634910367136	3.64597939884154	2.4926499460177	0.380728686995	2.43986208328405	0	6.47123958088158	0
ANN23024-RA	0.215155017780549	3.17761674977101	4.15314775468238	0.259048838840039	0.568172802900185	1.196327980269	0.429988962488212	0
ANN23025-RA	0	0	0	0	0	8.57838692573578	0	0
ANN23026-RA	7.37569845796592	9.8576369929282	7.40342293175916	5.29714777786259	7.45809312006949	9.7073258159704	11.905385620306	23.8842027797468
ANN23027-RA	25.0651033584787	22.6124084936761	37.538225472125	21.0196003667924	20.7014180370744	25.1742073257211	44.5531308585375	52.6784667321187
ANN23028-RA	1047.78375008961	876.511862077033	727.685640822207	1092.27181697367	899.02139741227	2639.7259291967	922.082760007151	1002.57892599818
ANN23029-RA	89.3534906562444	90.1475311345608	67.6156528878461	90.9094487006695	80.9720517068511	150.060041323548	85.4206737495544	57.1026938878537
ANN23030-RA	128.507545090393	179.564129078988	251.758947026695	131.008822033491	188.513076035977	140.234494958592	165.073039644102	363.761391588031
ANN23031-RA	0.215630754733855	0	0	0	0	0	0	0
ANN23032-RA	0	0	0	0	0	0	0	0
ANN23033-RA	0.647480737785926	0	1.922440288779	0	1.88736679882069	0.251204530434113	0	0
ANN23035-RA	0	14.7364883489283	3.60013436744813	0	3.24374417643141	0.502870955280581	23.5642273549267	36.7556054945765
